ds,y,price,inventory,store_id
2024-01-01,124.69999250114284,29.761533846929616,90,store_001
2024-01-02,128.82428856274223,33.83861859183659,62,store_001
2024-01-03,159.42118782983653,27.47306887928923,22,store_001
2024-01-04,187.01051055350692,31.261003779689254,45,store_001
2024-01-05,170.44895444405148,32.47893804767792,71,store_001
2024-01-06,158.91409497699388,30.731649228914378,74,store_001
2024-01-07,114.92344936597111,31.381815397340223,27,store_001
2024-01-08,107.89919652619935,29.333361276792008,93,store_001
2024-01-09,121.47948807731223,31.628861211330012,24,store_001
2024-01-10,156.32083026694318,29.40895735405304,65,store_001
2024-01-11,164.055506555176,30.74996381408021,41,store_001
2024-01-12,159.70231542625007,30.9293864410042,26,store_001
2024-01-13,146.2042023090191,31.702964212488183,75,store_001
2024-01-14,105.05612173040757,29.371749219458394,94,store_001
2024-01-15,88.64111901807871,30.527165568504664,34,store_001
2024-01-16,111.94545780649102,30.0332289393352,89,store_001
2024-01-17,155.24659534133284,31.531761855082074,23,store_001
2024-01-18,172.16955817309562,31.134450720577508,59,store_001
2024-01-19,166.8497683374665,30.639191689369877,25,store_001
2024-01-20,138.67796791441467,30.418577894428836,25,store_001
2024-01-21,129.36849435495677,29.110363555734377,93,store_001
2024-01-22,119.93963139098635,30.98038618725545,23,store_001
2024-01-23,122.12361026809194,29.121748816808346,74,store_001
2024-01-24,157.25624953976387,32.90984830820568,38,store_001
2024-01-25,164.6341612952204,30.444145570510997,66,store_001
2024-01-26,176.11705518352863,26.74365106438689,72,store_001
2024-01-27,134.17150528084898,27.16957535929189,63,store_001
2024-01-28,101.44644123194237,30.524806630831552,90,store_001
2024-01-29,96.00049407416897,30.041260391628775,46,store_001
2024-01-30,112.17879730709858,29.632426141329038,51,store_001
2024-01-31,144.03647628553418,30.507681469630786,18,store_001
2024-02-01,150.35449765260518,29.61527864535803,69,store_001
2024-02-02,167.06721583206047,29.83320987784587,32,store_001
2024-02-03,141.07161497259574,27.1422574749617,43,store_001
2024-02-04,101.9905045722938,28.022612365945484,19,store_001
2024-02-05,91.66253715454381,32.27495082267481,48,store_001
2024-02-06,109.14018604458325,30.68345723953624,81,store_001
